variant,fold,seed,mode,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,macro_delta_f1,micro_delta_f1,modified_pair_count,modified_rna_count,beneficial_edit_count,harmful_edit_count,modification_precision,delete_recall,beneficial_harmful_ratio,correct_pair_preservation
MODEL_SPECIFIC_PETFOLD,3,67,LEARNED_UNGATED,0.9734036796536797,0.824836505800128,0.8821593416404813,0.9731800766283525,0.8220064724919094,0.8912280701754386,-0.036729713605560564,-0.036876504987960135,42,16,12,30,0.2857142857142857,0.631578947368421,0.4,0.8943661971830986
MODEL_SPECIFIC_PETFOLD,3,67,LEARNED_SELECTIVE,0.9512826679493346,0.9037335419997959,0.9170873132760988,0.9489795918367347,0.9029126213592233,0.9253731343283582,-0.0018017419699429271,-0.0027314408350405106,9,5,4,5,0.4444444444444444,0.21052631578947367,0.8,0.9823943661971831
MODEL_SPECIFIC_PETFOLD,4,17,LEARNED_UNGATED,0.9380050505050505,0.7700757235683705,0.833868486270655,0.9353448275862069,0.7114754098360656,0.8081936685288641,-0.08706815446959659,-0.08813806990813755,90,18,26,64,0.28888888888888886,0.6341463414634146,0.40625,0.7722419928825622
MODEL_SPECIFIC_PETFOLD,4,17,LEARNED_SELECTIVE,0.9192461473711474,0.9293933735110206,0.9208025683915052,0.879746835443038,0.9114754098360656,0.895330112721417,-0.0001340723487462577,-0.0010016257155845976,6,3,3,3,0.5,0.07317073170731707,1.0,0.9893238434163701
MODEL_SPECIFIC_PETFOLD,4,29,LEARNED_UNGATED,0.934246138851402,0.8287154974654974,0.8694493298693603,0.9192307692307692,0.7836065573770492,0.8460176991150442,-0.05148731087089135,-0.05031403932195744,62,15,20,42,0.3225806451612903,0.4878048780487805,0.47619047619047616,0.8505338078291815
MODEL_SPECIFIC_PETFOLD,4,29,LEARNED_SELECTIVE,0.9160175898662741,0.9355579605579605,0.9222996497119561,0.878125,0.921311475409836,0.8992,0.0013630089717046278,0.0028682615629983532,2,2,2,0,1.0,0.04878048780487805,inf,1.0
MODEL_SPECIFIC_PETFOLD,4,41,LEARNED_UNGATED,0.9395246773923245,0.7821046668473138,0.8436761786231789,0.9322033898305084,0.7213114754098361,0.8133086876155268,-0.0772604621170726,-0.08302305082147488,86,19,25,61,0.29069767441860467,0.6097560975609756,0.4098360655737705,0.7829181494661922
MODEL_SPECIFIC_PETFOLD,4,41,LEARNED_SELECTIVE,0.9155015939942411,0.9306559997736468,0.9197125037424572,0.8773584905660378,0.9147540983606557,0.8956661316211878,-0.001224136997794283,-0.0006656068158138462,4,3,2,2,0.5,0.04878048780487805,1.0,0.9928825622775801
MODEL_SPECIFIC_PETFOLD,4,53,LEARNED_UNGATED,0.9342592592592592,0.7912229450832391,0.847358494979123,0.9259259259259259,0.7377049180327869,0.8211678832116789,-0.07357814576112849,-0.07516385522532276,79,17,23,56,0.2911392405063291,0.5609756097560976,0.4107142857142857,0.800711743772242
MODEL_SPECIFIC_PETFOLD,4,67,LEARNED_UNGATED,0.9367228835978837,0.8098938098938099,0.8594532376598374,0.9314516129032258,0.7573770491803279,0.8354430379746836,-0.06148340308041414,-0.06088870046231809,74,17,24,50,0.32432432432432434,0.5853658536585366,0.48,0.8220640569395018
MODEL_SPECIFIC_PETFOLD,4,67,LEARNED_SELECTIVE,0.9211137820512821,0.9355579605579605,0.9250243005923448,0.886435331230284,0.921311475409836,0.9035369774919614,0.004087659852093213,0.007205239054959733,5,4,5,0,1.0,0.12195121951219512,inf,1.0
MODEL_SPECIFIC_TRROSETTARNA2,0,17,LEARNED_UNGATED,0.972,0.9046428936792108,0.9344425475192522,0.9701986754966887,0.8825301204819277,0.9242902208201893,0.035441292283861336,0.045291611640773444,85,24,62,23,0.7294117647058823,0.8732394366197183,2.6956521739130435,0.9272151898734177
